Unicode	NGram	ID
Empty String	0	0
Unknown	0	1
' '	1	2
'   '	2	3
'e'	1	4
't'	1	5
'i'	1	6
'o'	1	7
'r'	1	8
'a'	1	9
'n'	1	10
's'	1	11
'\n'	1	12
'l'	1	13
'c'	1	14
'd'	1	15
'p'	1	16
'u'	1	17
'm'	1	18
'"'	1	19
'.'	1	20
'-'	1	21
'h'	1	22
'\n  '	2	23
'f'	1	24
'/'	1	25
'g'	1	26
','	1	27
'0'	1	28
'='	1	29
'b'	1	30
'_'	1	31
'\t'	1	32
'i n'	2	33
'e  '	2	34
'e r'	2	35
'o n'	2	36
':'	1	37
'y'	1	38
'A'	1	39
'1'	1	40
'('	1	41
')'	1	42
'>'	1	43
'T'	1	44
'S'	1	45
'C'	1	46
'r e'	2	47
'E'	1	48
't e'	2	49
'v'	1	50
'- -'	2	51
'<'	1	52
'a t'	2	53
'o r'	2	54
'*'	1	55
'2'	1	56
'e n'	2	57
'I'	1	58
';'	1	59
'w'	1	60
's t'	2	61
'l e'	2	62
't i'	2	63
'x'	1	64
'  t'	2	65
't  '	2	66
'n t'	2	67
't h'	2	68
',  '	2	69
'e s'	2	70
's e'	2	71
'R'	1	72
'd e'	2	73
'D'	1	74
'N'	1	75
'L'	1	76
's  '	2	77
'P'	1	78
'3'	1	79
'a r'	2	80
'k'	1	81
'\t \t'	2	82
'i o'	2	83
'h e'	2	84
'O'	1	85
'c o'	2	86
'4'	1	87
'a l'	2	88
'm e'	2	89
'r o'	2	90
'#'	1	91
'a n'	2	92
'\n \t'	2	93
'r i'	2	94
'e t'	2	95
'n d'	2	96
"'"	1	97
'  i'	2	98
'F'	1	99
'i t'	2	100
'n  '	2	101
'\n \n'	2	102
'; \n'	2	103
'  a'	2	104
'5'	1	105
'i s'	2	106
'B'	1	107
'M'	1	108
'6'	1	109
'  ='	2	110
't a'	2	111
'=  '	2	112
'r a'	2	113
't r'	2	114
'{'	1	115
'n g'	2	116
'> \n'	2	117
':  '	2	118
'l i'	2	119
'  s'	2	120
'  c'	2	121
'd  '	2	122
'r  '	2	123
'}'	1	124
'8'	1	125
'= "'	2	126
'c t'	2	127
'  <'	2	128
't o'	2	129
'e d'	2	130
'c e'	2	131
'9'	1	132
'n s'	2	133
'= ='	2	134
'p e'	2	135
'a s'	2	136
'  "'	2	137
'e c'	2	138
'n e'	2	139
'i c'	2	140
'i l'	2	141
'l a'	2	142
'7'	1	143
'o u'	2	144
'* *'	2	145
'e l'	2	146
'U'	1	147
'a m'	2	148
'0 0'	2	149
'G'	1	150
'  f'	2	151
'd i'	2	152
'g e'	2	153
'v e'	2	154
'f i'	2	155
'm a'	2	156
'/ /'	2	157
'u t'	2	158
'u r'	2	159
'  o'	2	160
'$'	1	161
'n c'	2	162
's s'	2	163
'a c'	2	164
's i'	2	165
'\\'	1	166
'o m'	2	167
'l o'	2	168
'i d'	2	169
'r t'	2	170
'  p'	2	171
'  *'	2	172
'p a'	2	173
'"  '	2	174
'e a'	2	175
'< /'	2	176
'u n'	2	177
'o l'	2	178
'n a'	2	179
'c h'	2	180
'  ('	2	181
'  r'	2	182
'f  '	2	183
'f o'	2	184
'o p'	2	185
'  {'	2	186
'l l'	2	187
'H'	1	188
'  d'	2	189
'o d'	2	190
'\r'	1	191
')  '	2	192
'e x'	2	193
'c l'	2	194
'e m'	2	195
'm p'	2	196
'j'	1	197
'y  '	2	198
'e f'	2	199
'c a'	2	200
'p r'	2	201
'\r \n'	2	202
') \n'	2	203
'l u'	2	204
'['	1	205
'  m'	2	206
'*  '	2	207
'l  '	2	208
'V'	1	209
']'	1	210
'  b'	2	211
'C o'	2	212
'a d'	2	213
'  n'	2	214
't y'	2	215
'i g'	2	216
'  e'	2	217
'p o'	2	218
'b l'	2	219
'i m'	2	220
'r s'	2	221
'u s'	2	222
'} \n'	2	223
'{ \n'	2	224
'\n #'	2	225
'i f'	2	226
'W'	1	227
', \n'	2	228
'o  '	2	229
'p l'	2	230
'h a'	2	231
'h i'	2	232
'  w'	2	233
') ;'	2	234
'o f'	2	235
'a g'	2	236
'u l'	2	237
'i e'	2	238
'" \n'	2	239
'# #'	2	240
'  -'	2	241
'  0'	2	242
'@'	1	243
'u e'	2	244
'%'	1	245
'o t'	2	246
'v a'	2	247
'g  '	2	248
'" ,'	2	249
'a b'	2	250
't s'	2	251
'c k'	2	252
'  l'	2	253
'  S'	2	254
'z'	1	255
'h t'	2	256
'o c'	2	257
's .'	2	258
'q'	1	259
'a  '	2	260
'  1'	2	261
's o'	2	262
't t'	2	263
'h o'	2	264
'w i'	2	265
'  T'	2	266
'  C'	2	267
'Y'	1	268
'm o'	2	269
'a p'	2	270
'y p'	2	271
'p t'	2	272
'n o'	2	273
'+'	1	274
'r m'	2	275
'd a'	2	276
'b e'	2	277
'o o'	2	278
'  v'	2	279
'e .'	2	280
'b u'	2	281
'e ='	2	282
't u'	2	283
'k e'	2	284
'R e'	2	285
'l d'	2	286
'n i'	2	287
'  /'	2	288
'i v'	2	289
"  '"	2	290
'  }'	2	291
'. .'	2	292
'r c'	2	293
's p'	2	294
'. \n'	2	295
'x t'	2	296
'  A'	2	297
'  I'	2	298
'  $'	2	299
'X'	1	300
'o w'	2	301
'o s'	2	302
'a i'	2	303
'" >'	2	304
'i r'	2	305
'( )'	2	306
'r r'	2	307
'  h'	2	308
'h  '	2	309
'  u'	2	310
'K'	1	311
'/  '	2	312
'0 .'	2	313
's h'	2	314
';  '	2	315
'i b'	2	316
'c r'	2	317
'u b'	2	318
'  P'	2	319
'd o'	2	320
't .'	2	321
'A A'	2	322
'r n'	2	323
'r g'	2	324
'l s'	2	325
'b o'	2	326
'm i'	2	327
'e e'	2	328
'I n'	2	329
'g i'	2	330
's u'	2	331
'r y'	2	332
'u i'	2	333
's c'	2	334
'c  '	2	335
'0 ,'	2	336
'.  '	2	337
'u m'	2	338
'u d'	2	339
'  L'	2	340
': :'	2	341
'v i'	2	342
'>  '	2	343
'. 0'	2	344
'#  '	2	345
'2 0'	2	346
'|'	1	347
'm  '	2	348
'u p'	2	349
't _'	2	350
'b a'	2	351
'p u'	2	352
'e _'	2	353
'a y'	2	354
'  2'	2	355
'p p'	2	356
'e \n'	2	357
'n f'	2	358
'l t'	2	359
'e p'	2	360
'S t'	2	361
'. c'	2	362
'e "'	2	363
'e w'	2	364
'e :'	2	365
'L i'	2	366
'&'	1	367
'r u'	2	368
'P r'	2	369
'i a'	2	370
'o i'	2	371
'1 0'	2	372
'0  '	2	373
'r d'	2	374
'f a'	2	375
'  F'	2	376
'i p'	2	377
'e ('	2	378
'I N'	2	379
'- >'	2	380
'g r'	2	381
'g h'	2	382
'\n /'	2	383
'!'	1	384
'm s'	2	385
'e v'	2	386
'-  '	2	387
'q u'	2	388
'1 .'	2	389
'0 1'	2	390
'j e'	2	391
'Q'	1	392
'. h'	2	393
'D e'	2	394
'S e'	2	395
's a'	2	396
't p'	2	397
'e ,'	2	398
'f t'	2	399
't ('	2	400
'i z'	2	401
'/ s'	2	402
's /'	2	403
'd d'	2	404
'/ >'	2	405
'`'	1	406
'" :'	2	407
'  g'	2	408
'n u'	2	409
's :'	2	410
') )'	2	411
'  ['	2	412
'e g'	2	413
'o g'	2	414
'r .'	2	415
'c u'	2	416
'  D'	2	417
'o b'	2	418
'w a'	2	419
's "'	2	420
'  O'	2	421
'a v'	2	422
'e y'	2	423
'  :'	2	424
'  M'	2	425
'E R'	2	426
', "'	2	427
'z e'	2	428
't -'	2	429
'p i'	2	430
'1  '	2	431
'F i'	2	432
'l y'	2	433
'a u'	2	434
'T h'	2	435
'o v'	2	436
'_ s'	2	437
'P a'	2	438
'  G'	2	439
'  \n'	2	440
'f e'	2	441
'A R'	2	442
'g u'	2	443
'f r'	2	444
'f f'	2	445
'1 ,'	2	446
'\t <'	2	447
'p  '	2	448
'm m'	2	449
'f u'	2	450
'n .'	2	451
'e >'	2	452
't :'	2	453
'  N'	2	454
'_ t'	2	455
'/ *'	2	456
'> <'	2	457
'd r'	2	458
'  R'	2	459
'e b'	2	460
'1 2'	2	461
'\n }'	2	462
'e -'	2	463
'S  '	2	464
'* /'	2	465
'  \\'	2	466
'  @'	2	467
'M a'	2	468
'n "'	2	469
'A C'	2	470
'1 1'	2	471
'm l'	2	472
'S E'	2	473
'_ c'	2	474
'E S'	2	475
'g s'	2	476
'  .'	2	477
'O N'	2	478
'/ \n'	2	479
'J'	1	480
'?'	1	481
'  #'	2	482
'c i'	2	483
'e q'	2	484
'N T'	2	485
'  B'	2	486
'T e'	2	487
's ='	2	488
'E  '	2	489
't "'	2	490
'T  '	2	491
'N a'	2	492
's \n'	2	493
'2  '	2	494
'O R'	2	495
'2 .'	2	496
'o a'	2	497
'3 2'	2	498
'. s'	2	499
', 0'	2	500
'I T'	2	501
'k  '	2	502
'" )'	2	503
'\n <'	2	504
'  y'	2	505
'ÿ'	1	506
', 1'	2	507
'e i'	2	508
't \n'	2	509
') ,'	2	510
'd u'	2	511
'/ a'	2	512
', ,'	2	513
'L I'	2	514
'w  '	2	515
'. 1'	2	516
': \n'	2	517
'E N'	2	518
'p y'	2	519
'd _'	2	520
'b j'	2	521
'R E'	2	522
'u a'	2	523
'$ ('	2	524
'A N'	2	525
'u g'	2	526
'u c'	2	527
'd s'	2	528
'e )'	2	529
'y s'	2	530
'd .'	2	531
'm b'	2	532
'  E'	2	533
'C A'	2	534
'w o'	2	535
'b i'	2	536
'  %'	2	537
'p :'	2	538
